id,store_id,url,type,key,value,created_at,updated_at
1,1,https://www.beyondretro.com/,meta,meta:description,"Beyond Retro is a leading vintage clothing retailer based out of London, UK. Endlessly inventive and always inspiring, the Beyond Retro community is the driving force of our business, united in non-conformity and committed to a retail counter-culture that celebrates individuality.",2021-03-31 17:45:19,2022-06-10 15:37:51
2,2,https://aldoshoes.co.uk/,meta,meta:description,"Aldo is the worldwide destination for on-trend fashion footwear and accessories at accessible prices. Positive, authentic, and bursting with personality. Aldo is the lifestyle brand for people stepping up in the world.",2021-03-31 17:45:19,2022-06-10 15:37:51
3,3,https://www.mondocbd.co.uk/,meta,meta:description,"The CBD industry is becoming increasingly saturated, same old products with the same old message. Cut through the noise with a refreshingly unique message and product with Mondo CBD.",2021-03-31 17:45:19,2021-06-22 10:52:50
4,4,https://www.shytobuy.uk/,meta,meta:description,"ShytoBuy is a website that specializes in helping you with problems that you are uncomfortable with. Our reputation is based above all on the high quality, our discretion and the ease of use of our products.",2021-03-31 17:45:19,2022-06-10 15:37:51
5,5,https://objektsstore.com/,meta,meta:description,"Objekts is a London-based jewelry brand, focused on creating stand-out, hypnotic jewelry designed to empower the modern woman. We offer a range of 14K, 18K Gold plated and Rhodium plated jewelry in 925 Sterling Silver, Stainless Steel or Brass. ",2021-03-31 17:45:19,2022-06-10 15:37:51
6,6,https://www.vividalifestyle.com/,meta,meta:description,"The Vivida Lifestyle exists to INSPIRE AND EMPOWER one another to live our best and healthiest lives doing what we love. Vivida Lifestyle was initially created as a purely passion-driven project, serving as a reminder and daily inspiration to live life to the fullest.",2021-03-31 17:45:19,2022-06-10 15:37:51
7,7,https://ruskinlondon.com/,meta,meta:description,"RUSKIN is a British luxury bag brand with a design spirit that is grounded in nature. The materials for each RUSKIN are hand-selected for their properties and the feelings they elicit. Beautiful, soft Italian leather for its, rich grain, texture, and color consistency with distinctive markings that impart unique character. ",2021-03-31 17:45:19,2021-06-22 10:52:50
8,8,https://girlcave.me/,meta,meta:description,"GirlCave is a store made just for the girls! Everything you need to start your very own Girl-Cave, from fashion and accessories to tech and breaks away on the beach, GirlCave sources the best products at the cheapest possible prices. For everything you won't find in a Man Cave, visit GirlCave.me",2021-03-31 17:45:19,2021-06-22 10:52:50
9,9,https://thesockandjockco.com/,meta,meta:description,"The Sock & Jock Co. offers our customers cost-effective surprise matching socks and underwear subscriptions, and deliver them directly to your door. Our unique men’s matching socks and underwear subscription as well as our sock subscription add a touch of wit and charisma to your every look; whether it is daily suiting, special occasions or smart casual.",2021-03-31 17:45:19,2021-06-22 10:52:50
10,10,https://www.sleepandsnooze.co.uk/,meta,meta:description,"Welcome to Sleep and Snooze, the go-to online bed shop. We offer amazing value beds and mattresses to suit every budget with a fast turnaround and an easy-to-understand product selection. Our online service offers fast, free delivery, for a new bed at your fingertips in hardly no time at all.",2021-03-31 17:45:19,2022-06-10 15:37:51
11,11,https://adoremefragrances.co.uk/,meta,meta:description,"Adoremefragrances is an online health and beauty shop. We sell high designer branded fragrances and makeup at amazing prices in UK. ",2021-03-31 17:45:19,2021-06-22 10:52:50
12,12,https://www.londonmintoffice.org/silverbu-affiliates,meta,meta:description,"For the first time in world history, the Sovereign, one of the most prestigious Gold coins in the world, has been issued in Pure Silver! 2019 marked a new era in British history.",2021-03-31 17:45:19,2021-06-01 10:11:22
13,13,https://www.joligift.uk/,meta,meta:description,"Joligift is a wordplay of the French word Jolie and gift. We aim to jolly-up our clients, their loved ones, or their home through a wide range of creating personalized gifts with greeting cards, premium aromatherapy, or traditional food and alcohol hampers.",2021-03-31 17:45:19,2022-06-10 15:37:51
14,14,https://uk.theadventurechallenge.com/,meta,meta:description,"The original scratch-off adventure company! Disrupt your routines and do something new. Create better connections and deepen your relationships. Products for couples, families, friends, and to do solo.",2021-03-31 17:45:19,2022-06-10 15:37:51
15,15,https://www.alfresco-holidays.com/,meta,meta:description,"Al Fresco Holidays is currently one of the market leaders in luxury mobile home holidays. Choose from over 70 stunning locations across France, Corsica, Spain, Italy, Croatia and Holland.",2021-03-31 17:45:19,2022-06-10 15:37:51
16,16,https://www.hismith.co.uk/,meta,meta:description,"Hismith is one of the world's leading designer brands for sex machines and relative dildos and accessories. Our sex machines and accessories are made of high quality and at affordable prices so will be the most competitive sex machines in the world.",2021-03-31 17:45:19,2022-06-10 15:37:51
17,17,https://www.chromeburner.com/gb/en/,meta,meta:description,"ChromeBurner is the leading and largest online retailer of Motorcycle clothing, helmets and accessories in the Netherlands. With a wide range of products, over 70 brands to choose from and the largest stock in the industry, they ship orders to customers from all over the world.",2021-03-31 17:45:19,2022-06-10 15:37:51
18,18,https://hencestacks.com/,meta,meta:description,"Hence offers a range of these no-compromise, health-first performance food supplements.  They are not made to taste good or to give a short-term positive impact with a longer-term downside.",2021-03-31 17:45:19,2022-06-10 15:37:51
19,19,https://frissonlife.com/,meta,meta:description,"Frisson Life is a UK-based e-commerce platform. Frisson gathers together the very best in homeware, furniture, lighting, and featured home decor. ",2021-03-31 17:45:19,2021-06-22 10:52:50
20,20,https://vegansupplementstore.co.uk/,meta,meta:description,"Our mission is to bring high quality, great tasting, fully-Vegan sports nutrition products to the masses. On our website you don't even need to read through the ingredients list to know that every single one of our products is 100% Vegan Certified and of the highest standards.",2021-03-31 17:45:19,2022-06-10 15:37:51
21,21,https://www.kongonline.co.uk/,meta,meta:description,"Kong retails the very best in streetwear, sneakers, casual, and select skate fashion, alongside a variety of heritage and high-fashion labels.",2021-03-31 17:45:19,2022-06-10 15:37:51
22,22,https://revl.co.uk/,meta,meta:description,"Revl with us to enjoy our full bar offering, exclusive bundles and great experiences straight to your door!",2021-03-31 17:45:19,2022-06-10 15:37:51
